epoch,loss,mAP_50,mAP_50_95,channels,lr,weight_decay,step_size,gamma
1,0.21911358951121315,0.3559846878051758,0.09879140555858612,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
2,0.1852870840802152,0.42893683910369873,0.14168062806129456,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
3,0.17606076278174534,0.5263442397117615,0.1799679547548294,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
4,0.17431188525202182,0.5259667634963989,0.18154878914356232,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
5,0.16759220405648917,0.4978801906108856,0.1543339639902115,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
6,0.16354208767541453,0.5720219612121582,0.21454283595085144,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
7,0.1596143540775037,0.591667890548706,0.21530485153198242,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
8,0.15867701669534048,0.5977910757064819,0.21803370118141174,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
9,0.1568404718851432,0.6253387331962585,0.22620166838169098,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
10,0.15571872335978043,0.5997394323348999,0.2288176566362381,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
11,0.15176758957374045,0.6381973624229431,0.24676628410816193,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
12,0.14804404454194328,0.6644402146339417,0.2531743347644806,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
13,0.15057878136539307,0.6427707076072693,0.2500017285346985,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
14,0.14879335074597955,0.6461836099624634,0.25153857469558716,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
15,0.14758815352096516,0.6543118953704834,0.2518109977245331,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
16,0.14476198956179312,0.6569724082946777,0.2580881416797638,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
17,0.14246813868546587,0.6628035306930542,0.2639313042163849,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
18,0.1436723661967195,0.6639465093612671,0.2606936991214752,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
19,0.14290311185117716,0.6720139384269714,0.26369524002075195,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
20,0.14232138600041214,0.652511477470398,0.26447975635528564,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
21,0.1383087183149834,0.674974262714386,0.27370700240135193,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
22,0.14121536893021858,0.6729776859283447,0.27334195375442505,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
23,0.1378477968227787,0.6622952222824097,0.26553723216056824,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
24,0.14070581852530056,0.6601660251617432,0.26589182019233704,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
25,0.14040887819077724,0.6689015626907349,0.27239570021629333,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
26,0.1372129516914869,0.6406121850013733,0.2616475224494934,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
27,0.1401654835869996,0.6746022701263428,0.26987797021865845,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
28,0.13794773100660399,0.6562164425849915,0.2702234387397766,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
29,0.13767411375943667,0.672893762588501,0.278417706489563,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
30,0.14011227403186324,0.6639500856399536,0.2691907286643982,"(32, 64, 128, 256)",0.0001,0.0001,5,0.5
